iter	MultiClass
0	1.677405224
1	1.569866753
2	1.476817462
3	1.394946175
4	1.329914886
5	1.272181321
6	1.218749759
7	1.173516784
8	1.133469373
9	1.093051787
10	1.05877087
11	1.027735214
12	0.9996012498
13	0.9760722719
14	0.9493505773
15	0.9232083845
16	0.9018110865
17	0.8831532956
18	0.8659014088
19	0.8530595138
20	0.8379752741
21	0.8260344723
22	0.8108746547
23	0.7981096816
24	0.7876024964
25	0.7771284587
26	0.7668488785
27	0.758415939
28	0.7509827103
29	0.7439011515
30	0.7372829441
31	0.7293023552
32	0.7234632475
33	0.7164644485
34	0.7107844573
35	0.7038972949
36	0.6988607808
37	0.6943544161
38	0.6891612118
39	0.6844365484
40	0.6774103221
41	0.6725882394
42	0.6691054394
43	0.6655308136
44	0.6620097911
45	0.6586139662
46	0.6556855611
47	0.6527687479
48	0.649308794
49	0.6459365728
50	0.6406000436
51	0.637131908
52	0.6354164393
53	0.6317122903
54	0.6288482242
55	0.6265159284
56	0.6243988785
57	0.6221825113
58	0.6203854676
59	0.6182764722
60	0.6166765725
61	0.6144974578
62	0.6130109431
63	0.6096787526
64	0.6074743322
65	0.6062796274
66	0.6044359595
67	0.6033771741
68	0.6022280452
69	0.6007892208
70	0.5988485856
71	0.5976075606
72	0.5960561254
73	0.5935306049
74	0.5925958256
75	0.5916183234
76	0.5898766346
77	0.5884295284
78	0.5878517667
79	0.58709014
80	0.5863230486
81	0.5851370138
82	0.5844101804
83	0.5828603213
84	0.582088003
85	0.5814404985
86	0.5809227437
87	0.5799501864
88	0.5792303183
89	0.5781805801
90	0.5770265985
91	0.5764741308
92	0.5762736455
93	0.5757106921
94	0.5747767224
95	0.5739794971
96	0.5736610361
97	0.5735054944
98	0.5725635466
99	0.5719140321
100	0.5713231019
101	0.5704427765
102	0.5703207584
103	0.5696088512
104	0.5688929185
105	0.5683532475
106	0.5677040433
107	0.5675228112
108	0.5665247515
109	0.565723825
110	0.5652605926
111	0.5648171224
112	0.5639153914
113	0.5638491494
114	0.5632374758
115	0.5622861055
116	0.5615329472
117	0.560836897
118	0.5604627378
119	0.5598292417
120	0.5591597746
121	0.5586548948
122	0.5578921676
123	0.5575957465
124	0.5571907521
125	0.5566943209
126	0.5564476213
127	0.5560181172
128	0.5557083285
129	0.5551853605
130	0.5546541099
131	0.553822585
132	0.5533877444
133	0.5531905297
134	0.5525056959
135	0.5521491106
136	0.5517342496
137	0.5506392535
138	0.5502467642
139	0.5501737717
140	0.5499222979
141	0.5496457598
142	0.5490091656
143	0.5488344868
144	0.5486273974
145	0.5481280708
146	0.547475245
147	0.5467110483
148	0.5459735848
149	0.5456599371
150	0.5447306099
151	0.5445121317
152	0.5440130376
153	0.5435630177
154	0.5430047988
155	0.5422215487
156	0.5417898881
157	0.5411171259
158	0.5406503904
159	0.5398366233
160	0.53924022
161	0.5385683783
162	0.5379223576
163	0.5375261365
164	0.5372079037
165	0.5368609755
166	0.5365098014
167	0.5361249198
168	0.5355561216
169	0.5350025071
170	0.5346206348
171	0.5341743784
172	0.5333692874
173	0.5327197144
174	0.5324000797
175	0.5317936807
176	0.5308803499
177	0.5300392105
178	0.5293002473
179	0.5288750944
180	0.5286449975
181	0.5280023173
182	0.5269320165
183	0.5259163206
184	0.5249638186
185	0.5246048732
186	0.5241235044
187	0.523485709
188	0.5230480119
189	0.5222485607
190	0.5217842923
191	0.5210740801
192	0.5208276541
193	0.5202495243
194	0.5195846451
195	0.5189306825
196	0.5182856283
197	0.5179947618
198	0.5174524877
199	0.5170913195
200	0.5164691929
201	0.5160129557
202	0.5157714266
203	0.5153013657
204	0.5147699381
205	0.5144875221
206	0.5141674208
207	0.5136894619
208	0.5132884491
209	0.5128213144
210	0.5121489372
211	0.5119147146
212	0.5113313576
213	0.5106240716
214	0.5098629323
215	0.5096961289
216	0.5090607386
217	0.5084244571
218	0.5078583012
219	0.5073907079
220	0.5070596627
221	0.5066007499
222	0.5060147246
223	0.5057314594
224	0.5052562112
225	0.504907717
226	0.5043120959
227	0.5040885077
228	0.5035129071
229	0.5030689743
230	0.5027579648
231	0.5025067035
232	0.5021467523
233	0.5013163517
234	0.5011010704
235	0.5009326971
236	0.5003654682
237	0.5001978505
238	0.4996658592
239	0.4992334514
240	0.4987377201
241	0.4978827751
242	0.4970743377
243	0.4965900141
244	0.4958273359
245	0.4953921861
246	0.494770798
247	0.4941115133
248	0.4938747486
249	0.4935070896
250	0.4930197252
251	0.4927005312
252	0.4924017497
253	0.4919828604
254	0.4916325913
255	0.4908884003
256	0.4906957648
257	0.490234264
258	0.4896423114
259	0.4890289632
260	0.4883001994
261	0.4878494563
262	0.4872089961
263	0.4868812472
264	0.4863301585
265	0.4858079559
266	0.4856614188
267	0.4852931321
268	0.4846380513
269	0.4843527785
270	0.4841307911
271	0.4836151188
272	0.483418778
273	0.4831606147
274	0.4824923159
275	0.4819395911
276	0.4815810792
277	0.4809400696
278	0.4806744524
279	0.4802238101
280	0.479839877
281	0.4794114721
282	0.4789020392
283	0.4783625788
284	0.4780638771
285	0.4777115482
286	0.4772501547
287	0.4770784611
288	0.4766833681
289	0.4765646515
290	0.4762873079
291	0.4760174815
292	0.4758035063
293	0.4753143076
294	0.4748038596
295	0.4744861319
296	0.4741172869
297	0.4737696893
298	0.473466877
299	0.4729642897
300	0.4727617918
301	0.4721350915
302	0.4716747932
303	0.4713091261
304	0.4711304512
305	0.4706254183
306	0.4704063768
307	0.4702010492
308	0.4698330661
309	0.4692962521
310	0.4688028891
311	0.4684250772
312	0.4681437733
313	0.4678919807
314	0.4675367407
315	0.4672572214
316	0.4668988315
317	0.4665218866
318	0.466040007
319	0.4656144728
320	0.465266364
321	0.4647507925
322	0.4645541265
323	0.464279913
324	0.4641200635
325	0.4635424963
326	0.46304793
