iter	Passed	Remaining
0	134	67159
1	243	60684
2	340	56335
3	434	53858
4	624	61871
5	753	62051
6	861	60673
7	961	59158
8	1110	60609
9	1225	60031
10	1339	59563
11	1446	58817
12	1512	56649
13	1631	56651
14	1768	57174
15	1882	56936
16	1984	56389
17	2088	55926
18	2220	56221
19	2332	55988
20	2440	55658
21	2475	53782
22	2572	53358
23	2684	53240
24	2860	54342
25	2967	54104
26	3072	53817
27	3167	53391
28	3290	53449
29	3336	52265
30	3412	51632
31	3522	51520
32	3557	50343
33	3657	50126
34	3781	50234
35	3903	50313
36	4008	50165
37	4110	49977
38	4217	49848
39	4329	49787
40	4455	49879
41	4562	49750
42	4665	49584
43	4728	48999
44	4845	48997
45	4962	48981
46	5066	48832
47	5172	48710
48	5271	48516
49	5410	48697
50	5524	48635
51	5637	48569
52	5738	48399
53	5875	48527
54	6008	48612
55	6114	48482
56	6280	48814
57	6424	48962
58	6538	48874
59	6657	48821
60	6757	48630
61	6875	48573
62	7014	48656
63	7132	48587
64	7230	48386
65	7345	48300
66	7487	48391
67	7593	48244
68	7705	48134
69	7810	47976
70	7894	47699
71	8036	47773
72	8147	47655
73	8264	47578
74	8366	47408
75	8401	46872
76	8519	46799
77	8647	46787
78	8685	46283
79	8784	46117
80	8878	45929
81	8983	45792
82	9127	45858
83	9245	45786
84	9348	45643
85	9443	45460
86	9571	45438
87	9722	45517
88	9828	45387
89	9929	45233
90	10034	45098
91	10176	45132
92	10225	44750
93	10323	44589
94	10415	44401
95	10528	44307
96	10584	43975
97	10625	43585
98	10767	43612
99	10885	43541
100	10994	43433
101	11094	43288
102	11144	42956
103	11278	42946
104	11345	42679
105	11447	42548
106	11545	42405
107	11640	42249
108	11776	42245
109	11893	42169
110	11996	42042
111	12108	41946
112	12258	41983
113	12306	41670
114	12407	41536
115	12507	41402
116	12610	41282
117	12774	41355
118	12888	41264
119	12989	41134
120	13093	41012
121	13220	40960
122	13341	40891
123	13405	40649
124	13499	40498
125	13599	40366
126	13738	40351
127	13860	40281
128	13965	40164
129	14073	40056
130	14168	39908
131	14297	39859
132	14421	39795
133	14522	39664
134	14617	39521
135	14723	39407
136	14879	39424
137	15005	39361
138	15119	39267
139	15151	38961
140	15239	38801
141	15377	38768
142	15483	38655
143	15578	38514
144	15677	38381
145	15778	38258
146	15912	38212
147	16019	38101
148	16127	37991
149	16220	37847
150	16353	37798
151	16472	37713
152	16574	37590
153	16678	37471
154	16779	37346
155	16928	37329
156	17043	37235
157	17139	37100
158	17242	36979
159	17350	36870
160	17487	36821
161	17589	36698
162	17692	36579
163	17793	36454
164	17923	36389
165	18048	36314
166	18154	36199
167	18249	36065
168	18351	35942
169	18460	35835
170	18587	35761
171	18695	35652
172	18803	35541
173	18907	35425
174	19057	35392
175	19173	35296
176	19287	35196
177	19380	35058
178	19511	34989
179	19685	34995
180	19829	34948
181	20003	34950
182	20152	34909
183	20255	34786
184	20358	34663
185	20459	34539
186	20588	34461
187	20709	34369
188	20809	34241
189	20921	34135
190	21024	34012
191	21159	33943
192	21267	33830
193	21368	33704
194	21467	33577
195	21569	33454
196	21725	33415
197	21950	33479
198	22222	33612
199	22349	33524
200	22457	33407
201	22556	33276
202	22650	33138
203	22799	33081
204	22902	32956
205	23004	32831
206	23111	32712
207	23213	32587
208	23366	32534
209	23469	32410
210	23578	32294
211	23678	32167
212	23812	32086
213	23946	32003
214	24062	31897
215	24153	31757
216	24262	31641
217	24425	31595
218	24545	31494
219	24647	31369
220	24752	31248
221	24914	31199
222	25105	31184
223	25281	31150
224	25411	31059
225	25529	30951
226	25666	30867
227	25775	30750
228	25877	30623
229	26060	30592
230	26315	30644
231	26514	30629
232	26767	30673
233	27013	30707
234	27162	30629
235	27376	30624
236	27549	30571
237	27683	30475
238	27839	30402
239	28022	30357
240	28157	30260
241	28285	30155
242	28474	30114
243	28655	30064
244	28830	30006
245	28985	29928
246	29170	29879
247	29305	29778
248	29425	29661
249	29555	29555
250	29780	29543
251	29924	29449
252	30053	29340
253	30237	29284
254	30357	29166
255	30466	29038
256	30568	28903
257	30679	28777
258	30830	28688
259	30942	28562
260	31046	28429
261	31152	28299
262	31266	28175
263	31408	28076
264	31517	27949
265	31625	27820
266	31730	27690
267	31859	27580
268	31986	27468
269	32101	27345
270	32209	27218
271	32331	27101
272	32459	26989
273	32559	26855
274	32673	26732
275	32778	26602
276	32916	26499
277	33031	26377
278	33143	26253
279	33249	26124
280	33358	25998
281	33509	25904
282	33634	25790
283	33743	25664
284	33841	25529
285	33961	25411
286	34107	25313
287	34209	25182
288	34310	25049
289	34412	24919
290	34540	24807
291	34666	24694
292	34774	24567
293	34875	24436
294	34975	24304
295	35108	24196
296	35224	24075
297	35338	23953
298	35443	23826
299	35577	23718
300	35720	23615
301	35834	23494
302	35937	23365
303	36034	23232
304	36170	23125
305	36292	23009
306	36393	22879
307	36493	22749
308	36606	22627
309	36735	22515
310	36848	22393
311	36945	22262
312	37045	22132
313	37155	22009
314	37289	21900
315	37397	21775
316	37498	21647
317	37596	21517
318	37732	21409
319	37852	21291
320	37958	21167
321	38052	21035
322	38162	20912
323	38298	20803
324	38403	20678
325	38503	20551
326	38610	20426
