week_start,site_id,equipment_type,current_demand,target_next_week_demand,demand_lag_1,demand_lag_2,demand_lag_4,demand_rolling_mean_4,demand_rolling_max_4,demand_rolling_std_4,demand_trend_4,weeks_since_last_positive_demand,year,month,quarter,week_of_year,site_total_active_units,site_active_equipment_type_count,active_excavator_count,active_bulldozer_count,active_grader_count,active_crane_count,active_loader_count,active_roller_count,rental_starts_current_week,rental_ends_current_week,rental_starts_previous_2_weeks,rental_ends_previous_2_weeks
2024-01-01,S001,Bulldozer,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024,1,1,1,3,3,1,0,1,0,0,1,0,0,0,0
2024-01-08,S001,Bulldozer,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024,1,1,2,5,4,2,1,1,0,0,1,1,0,0,0
2024-01-15,S001,Bulldozer,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024,1,1,3,8,5,2,1,0,1,2,2,0,1,1,0
2024-01-22,S001,Bulldozer,2,2,1.0,1.0,0.0,1.0,2.0,0.816496580927726,0.0,0,2024,1,1,4,9,5,2,2,0,1,2,2,2,0,1,1
2024-01-29,S001,Bulldozer,2,0,2.0,1.0,0.0,1.5,2.0,0.5773502691896257,2.0,0,2024,1,1,5,5,3,2,2,0,0,0,1,0,2,2,1
2024-02-05,S001,Bulldozer,0,0,2.0,2.0,1.0,1.25,2.0,0.9574271077563381,-1.0,1,2024,2,1,6,3,3,1,0,1,0,0,1,0,0,2,2
2024-02-12,S001,Bulldozer,0,0,0.0,2.0,1.0,1.0,2.0,1.1547005383792515,-1.0,2,2024,2,1,7,5,4,2,0,1,0,1,1,0,0,0,2
2024-02-19,S001,Bulldozer,0,0,0.0,0.0,2.0,0.5,2.0,1.0,-2.0,3,2024,2,1,8,4,3,2,0,0,0,1,1,0,0,0,0
2024-02-26,S001,Bulldozer,0,1,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,4,2024,2,1,9,4,3,2,0,0,0,1,1,0,0,0,0
2024-03-04,S001,Bulldozer,1,1,0.0,0.0,0.0,0.25,1.0,0.5,1.0,0,2024,3,1,10,6,5,2,1,0,1,1,1,1,0,0,0
2024-03-11,S001,Bulldozer,1,1,1.0,0.0,0.0,0.5,1.0,0.5773502691896257,1.0,0,2024,3,1,11,5,4,2,1,0,1,1,0,0,0,1,0
2024-03-18,S001,Bulldozer,1,0,1.0,1.0,0.0,0.75,1.0,0.5,1.0,0,2024,3,1,12,4,4,0,1,1,1,1,0,0,1,1,0
2024-03-25,S001,Bulldozer,0,0,1.0,1.0,0.0,0.75,1.0,0.5,0.0,1,2024,3,1,13,2,2,0,0,1,0,1,0,0,0,0,1
2024-04-01,S001,Bulldozer,0,0,0.0,1.0,1.0,0.5,1.0,0.5773502691896257,-1.0,2,2024,4,2,14,1,1,1,0,0,0,0,0,0,0,0,1
2024-04-08,S001,Bulldozer,0,0,0.0,0.0,1.0,0.25,1.0,0.5,-1.0,3,2024,4,2,15,3,2,2,0,0,0,0,1,0,0,0,0
2024-04-15,S001,Bulldozer,0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4,2024,4,2,16,3,2,2,0,0,0,0,1,0,0,0,0
2024-04-22,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2024,4,2,17,1,1,1,0,0,0,0,0,0,0,0,0
2024-04-29,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2024,4,2,18,1,1,0,0,0,0,0,1,0,0,0,0
2024-05-06,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2024,5,2,19,4,4,1,0,0,1,1,1,0,0,0,0
2024-05-13,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2024,5,2,20,6,5,2,0,1,1,1,1,0,0,0,0
2024-05-20,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2024,5,2,21,5,3,2,0,1,0,2,0,0,0,0,0
2024-05-27,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2024,5,2,22,5,3,0,0,0,2,2,1,0,0,0,0
2024-06-03,S001,Bulldozer,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2024,6,2,23,6,3,0,0,0,3,2,1,0,0,0,0
2024-06-10,S001,Bulldozer,2,2,0.0,0.0,0.0,0.5,2.0,1.0,2.0,0,2024,6,2,24,8,4,0,2,0,3,2,1,2,0,0,0
2024-06-17,S001,Bulldozer,2,1,2.0,0.0,0.0,1.0,2.0,1.1547005383792515,2.0,0,2024,6,2,25,6,4,1,2,0,2,0,1,0,1,2,0
2024-06-24,S001,Bulldozer,1,0,2.0,2.0,0.0,1.25,2.0,0.9574271077563382,1.0,0,2024,6,2,26,6,5,1,1,2,0,1,1,0,1,2,1
2024-07-01,S001,Bulldozer,0,0,1.0,2.0,0.0,1.25,2.0,0.9574271077563382,0.0,1,2024,7,3,27,5,4,1,0,2,0,1,1,0,0,0,2
2024-07-08,S001,Bulldozer,0,1,0.0,1.0,2.0,0.75,2.0,0.9574271077563382,-2.0,2,2024,7,3,28,1,1,1,0,0,0,0,0,0,0,0,1
2024-07-15,S001,Bulldozer,1,1,0.0,0.0,2.0,0.5,1.0,0.5773502691896258,-1.0,0,2024,7,3,29,1,1,0,1,0,0,0,0,1,0,0,0
2024-07-22,S001,Bulldozer,1,2,1.0,0.0,1.0,0.5,1.0,0.5773502691896258,0.0,0,2024,7,3,30,1,1,0,1,0,0,0,0,0,0,1,0
2024-07-29,S001,Bulldozer,2,2,1.0,1.0,0.0,1.0,2.0,0.8164965809277263,2.0,0,2024,7,3,31,2,1,0,2,0,0,0,0,1,0,1,0
2024-08-05,S001,Bulldozer,2,2,2.0,1.0,0.0,1.5,2.0,0.5773502691896261,2.0,0,2024,8,3,32,3,2,1,2,0,0,0,0,0,0,1,0
2024-08-12,S001,Bulldozer,2,2,2.0,2.0,1.0,1.75,2.0,0.5000000000000002,1.0,0,2024,8,3,33,5,4,1,2,1,1,0,0,0,0,1,0
2024-08-19,S001,Bulldozer,2,0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0,2024,8,3,34,6,4,2,2,1,1,0,0,0,2,0,0
2024-08-26,S001,Bulldozer,0,0,2.0,2.0,2.0,1.5,2.0,1.0,-2.0,1,2024,8,3,35,5,4,2,0,1,1,0,1,0,0,0,2
2024-09-02,S001,Bulldozer,0,0,0.0,2.0,2.0,1.0,2.0,1.1547005383792515,-2.0,2,2024,9,3,36,3,2,2,0,0,0,0,1,0,0,0,2
2024-09-09,S001,Bulldozer,0,0,0.0,0.0,2.0,0.5,2.0,1.0,-2.0,3,2024,9,3,37,3,3,1,0,1,0,0,1,0,0,0,0
2024-09-16,S001,Bulldozer,0,1,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,4,2024,9,3,38,3,3,1,0,1,0,0,1,0,0,0,0
2024-09-23,S001,Bulldozer,1,1,0.0,0.0,0.0,0.25,1.0,0.5,1.0,0,2024,9,3,39,3,3,1,1,0,0,0,1,1,0,0,0
2024-09-30,S001,Bulldozer,1,0,1.0,0.0,0.0,0.5,1.0,0.5773502691896257,1.0,0,2024,9,3,40,4,4,1,1,1,0,0,1,0,1,1,0
2024-10-07,S001,Bulldozer,0,1,1.0,1.0,0.0,0.5,1.0,0.5773502691896257,0.0,1,2024,10,4,41,2,2,1,0,1,0,0,0,0,0,1,1
2024-10-14,S001,Bulldozer,1,2,0.0,1.0,0.0,0.75,1.0,0.5,1.0,0,2024,10,4,42,2,2,1,1,0,0,0,0,1,0,0,1
2024-10-21,S001,Bulldozer,2,2,1.0,0.0,1.0,1.0,2.0,0.816496580927726,1.0,0,2024,10,4,43,6,4,2,2,1,0,0,1,1,0,1,0
2024-10-28,S001,Bulldozer,2,2,2.0,1.0,1.0,1.25,2.0,0.9574271077563381,1.0,0,2024,10,4,44,7,4,2,2,2,0,0,1,0,0,2,0
2024-11-04,S001,Bulldozer,2,0,2.0,2.0,0.0,1.75,2.0,0.4999999999999999,2.0,0,2024,11,4,45,7,5,1,2,2,0,1,1,0,2,1,0
2024-11-11,S001,Bulldozer,0,0,2.0,2.0,1.0,1.5,2.0,1.0,-1.0,1,2024,11,4,46,6,4,1,0,2,0,2,1,0,0,0,2
2024-11-18,S001,Bulldozer,0,0,0.0,2.0,2.0,1.0,2.0,1.1547005383792515,-2.0,2,2024,11,4,47,4,3,1,0,0,0,2,1,0,0,0,2
2024-11-25,S001,Bulldozer,0,0,0.0,0.0,2.0,0.5,2.0,1.0,-2.0,3,2024,11,4,48,2,2,1,0,0,0,1,0,0,0,0,0
2024-12-02,S001,Bulldozer,0,0,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,4,2024,12,4,49,2,2,1,0,0,0,1,0,0,0,0,0
2024-12-09,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2024,12,4,50,2,2,0,0,0,1,1,0,0,0,0,0
2024-12-16,S001,Bulldozer,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2024,12,4,51,1,1,0,0,0,1,0,0,0,0,0,0
2024-12-23,S001,Bulldozer,1,1,0.0,0.0,0.0,0.25,1.0,0.5,1.0,0,2024,12,4,52,2,2,0,1,0,1,0,0,1,0,0,0
2024-12-30,S001,Bulldozer,1,1,1.0,0.0,0.0,0.5,1.0,0.5773502691896257,1.0,0,2024,12,4,1,4,3,0,1,0,1,2,0,0,0,1,0
2025-01-06,S001,Bulldozer,1,3,1.0,1.0,0.0,0.75,1.0,0.5,1.0,0,2025,1,1,2,6,4,2,1,0,1,2,0,0,0,1,0
