MAE,RMSE,exact_count_accuracy,within_one_unit_accuracy,underprediction_rate,overprediction_rate,demand_occurrence_precision,demand_occurrence_recall,demand_occurrence_F1,additional_equipment_precision,additional_equipment_recall,additional_equipment_F1,TP,FP,FN,TN,mean_shortage_error,increase_threshold,decrease_threshold
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.05,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.1,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.15,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.2,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.25,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.3,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.35,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.4,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.45,0.7
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.1
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.15
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.2
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.25
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.3
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.35
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.4
0.2033,0.511,0.8211,0.98,15.4444,2.4444,0.9264,0.6977,0.796,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.5
0.22,0.5207,0.8022,0.9811,14.8889,4.8889,0.8659,0.7154,0.7834,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.6
0.2389,0.5302,0.78,0.9833,13.6667,8.3333,0.7989,0.7506,0.774,0.6667,0.0833,0.1481,10,5,110,775,0.1467,0.5,0.7
0.2089,0.5185,0.8167,0.9789,16.2222,2.1111,0.934,0.6776,0.7854,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.1
0.2089,0.5185,0.8167,0.9789,16.2222,2.1111,0.934,0.6776,0.7854,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.15
0.2089,0.5185,0.8167,0.9789,16.2222,2.1111,0.934,0.6776,0.7854,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.2
0.2089,0.5185,0.8167,0.9789,16.2222,2.1111,0.934,0.6776,0.7854,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.25
0.2089,0.5185,0.8167,0.9789,16.2222,2.1111,0.934,0.6776,0.7854,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.3
0.2089,0.5185,0.8167,0.9789,16.2222,2.1111,0.934,0.6776,0.7854,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.35
0.2089,0.5185,0.8167,0.9789,16.2222,2.1111,0.934,0.6776,0.7854,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.4
0.2089,0.5185,0.8167,0.9789,16.2222,2.1111,0.934,0.6776,0.7854,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.5
0.2256,0.5281,0.7978,0.98,15.6667,4.5556,0.8707,0.6952,0.7731,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.6
0.2444,0.5375,0.7756,0.9822,14.4444,8.0,0.8011,0.7305,0.7642,0.5,0.0167,0.0323,2,2,118,778,0.1522,0.6,0.7
0.21,0.5196,0.8156,0.9789,16.3333,2.1111,0.9338,0.6751,0.7836,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.1
0.21,0.5196,0.8156,0.9789,16.3333,2.1111,0.9338,0.6751,0.7836,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.15
0.21,0.5196,0.8156,0.9789,16.3333,2.1111,0.9338,0.6751,0.7836,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.2
0.21,0.5196,0.8156,0.9789,16.3333,2.1111,0.9338,0.6751,0.7836,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.25
0.21,0.5196,0.8156,0.9789,16.3333,2.1111,0.9338,0.6751,0.7836,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.3
0.21,0.5196,0.8156,0.9789,16.3333,2.1111,0.9338,0.6751,0.7836,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.35
0.21,0.5196,0.8156,0.9789,16.3333,2.1111,0.9338,0.6751,0.7836,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.4
0.21,0.5196,0.8156,0.9789,16.3333,2.1111,0.9338,0.6751,0.7836,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.5
0.2267,0.5292,0.7967,0.98,15.7778,4.5556,0.8703,0.6927,0.7714,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.6
0.2456,0.5385,0.7744,0.9822,14.5556,8.0,0.8006,0.728,0.7625,0.3333,0.0083,0.0163,1,2,119,778,0.1533,0.7,0.7
