week_start,site_id,equipment_type,current_demand,target_next_week_demand,demand_lag_1,demand_lag_2,demand_lag_4,demand_rolling_mean_4,demand_rolling_max_4,demand_rolling_std_4,demand_trend_4,weeks_since_last_positive_demand,year,month,quarter,week_of_year,site_total_active_units,site_active_equipment_type_count,active_excavator_count,active_bulldozer_count,active_grader_count,active_crane_count,active_loader_count,active_roller_count,rental_starts_current_week,rental_ends_current_week,rental_starts_previous_2_weeks,rental_ends_previous_2_weeks,data_split,association_matching_rule_count,association_max_support,association_max_confidence,association_max_lift,association_mean_confidence,association_mean_lift,transition_recent_start_trigger_count,transition_max_start_probability,transition_mean_start_probability,transition_recent_end_trigger_count,transition_max_end_probability,transition_mean_end_probability
2024-01-01,S001,Bulldozer,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024,1,1,1,3,3,1,0,1,0,0,1,0,0,0,0,train,2,0.19,0.6244131455399061,1.2041024845122157,0.6205399061032864,1.1966334277473842,3,0.5368421052631579,0.44021010644799036,0,0.0,0.0
2024-01-08,S001,Bulldozer,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024,1,1,2,5,4,2,1,1,0,0,1,1,0,0,0,train,2,0.19,0.6244131455399061,1.2041024845122157,0.6205399061032864,1.1966334277473842,4,0.5368421052631579,0.46436810615178226,2,0.3597560975609756,0.35819972710216613
2024-01-15,S001,Bulldozer,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024,1,1,3,8,5,2,1,0,1,2,2,0,1,1,0,train,0,0.0,0.0,0.0,0.0,0.0,6,0.5368421052631579,0.4516652429837764,2,0.3597560975609756,0.35819972710216613
2024-01-22,S001,Bulldozer,2,2,1.0,1.0,0.0,1.0,2.0,0.816496580927726,0.0,0,2024,1,1,4,9,5,2,2,0,1,2,2,2,0,1,1,train,0,0.0,0.0,0.0,0.0,0.0,5,0.4918032786885246,0.43462987052790025,4,0.4576271186440678,0.3973282601916117
2024-01-29,S001,Bulldozer,2,0,2.0,1.0,0.0,1.5,2.0,0.5773502691896257,2.0,0,2024,1,1,5,5,3,2,2,0,0,0,1,0,2,2,1,train,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,0.483695652173913,0.4261173908523788
2024-02-05,S001,Bulldozer,0,0,2.0,2.0,1.0,1.25,2.0,0.957427107756338,-1.0,1,2024,2,1,6,3,3,1,0,1,0,0,1,0,0,2,2,train,2,0.19,0.6244131455399061,1.2041024845122157,0.6205399061032864,1.1966334277473842,2,0.5368421052631579,0.4554958825635518,2,0.483695652173913,0.483695652173913
2024-02-12,S001,Bulldozer,0,0,0.0,2.0,1.0,1.0,2.0,1.1547005383792517,-1.0,2,2024,2,1,7,5,4,2,0,1,0,1,1,0,0,0,2,train,6,0.19,0.6716417910447761,1.2951770075243616,0.632268427793185,1.2192504117223952,4,0.5368421052631579,0.4697170882872205,1,0.35664335664335667,0.35664335664335667
2024-02-19,S001,Bulldozer,0,0,0.0,0.0,2.0,0.5,2.0,1.0,-2.0,3,2024,2,1,8,4,3,2,0,0,0,1,1,0,0,0,0,train,0,0.0,0.0,0.0,0.0,0.0,2,0.5368421052631579,0.4839382940108893,2,0.483695652173913,0.4201695044086349
2024-02-26,S001,Bulldozer,0,1,0.0,0.0,2.0,0.0,0.0,0.0,-2.0,4,2024,2,1,9,4,3,2,0,0,0,1,1,0,0,0,0,train,0,0.0,0.0,0.0,0.0,0.0,1,0.5368421052631579,0.5368421052631579,1,0.483695652173913,0.483695652173913
2024-03-04,S001,Bulldozer,1,1,0.0,0.0,0.0,0.25,1.0,0.5,1.0,0,2024,3,1,10,6,5,2,1,0,1,1,1,1,0,0,0,train,0,0.0,0.0,0.0,0.0,0.0,2,0.5368421052631579,0.5143226919758412,1,0.3597560975609756,0.3597560975609756
2024-03-11,S001,Bulldozer,1,1,1.0,0.0,0.0,0.5,1.0,0.5773502691896257,1.0,0,2024,3,1,11,5,4,2,1,0,1,1,0,0,0,1,0,train,0,0.0,0.0,0.0,0.0,0.0,1,0.4918032786885246,0.4918032786885246,4,0.483695652173913,0.4282780785473759
2024-03-18,S001,Bulldozer,1,0,1.0,1.0,0.0,0.75,1.0,0.5,1.0,0,2024,3,1,12,4,4,0,1,1,1,1,0,0,1,1,0,train,3,0.15,0.6194690265486726,1.194568370755016,0.6136817513129512,1.183408335865195,2,0.43103448275862066,0.40259207131128316,4,0.483695652173913,0.4527458338181489
2024-03-25,S001,Bulldozer,0,0,1.0,1.0,0.0,0.75,1.0,0.5,0.0,1,2024,3,1,13,2,2,0,0,1,0,1,0,0,0,0,1,train,1,0.15,0.6104651162790697,1.1772054583893907,0.6104651162790697,1.1772054583893907,2,0.43103448275862066,0.40259207131128316,3,0.4576271186440678,0.40007846252270873
2024-04-01,S001,Bulldozer,0,0,0.0,1.0,1.0,0.5,1.0,0.5773502691896257,-1.0,2,2024,4,2,14,1,1,1,0,0,0,0,0,0,0,0,1,train,0,0.0,0.0,0.0,0.0,0.0,1,0.5368421052631579,0.5368421052631579,2,0.38596491228070173,0.3713041344620292
2024-04-08,S001,Bulldozer,0,0,0.0,0.0,1.0,0.25,1.0,0.5,-1.0,3,2024,4,2,15,3,2,2,0,0,0,0,1,0,0,0,0,train,0,0.0,0.0,0.0,0.0,0.0,3,0.5368421052631579,0.49444092158106107,0,0.0,0.0
2024-04-15,S001,Bulldozer,0,0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,4,2024,4,2,16,3,2,2,0,0,0,0,1,0,0,0,0,train,0,0.0,0.0,0.0,0.0,0.0,2,0.5368421052631579,0.4732403297400127,2,0.483695652173913,0.4217258748674443
2024-04-22,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2024,4,2,17,1,1,1,0,0,0,0,0,0,0,0,0,train,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,0.483695652173913,0.4423824673029339
2024-04-29,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2024,4,2,18,1,1,0,0,0,0,0,1,0,0,0,0,train,0,0.0,0.0,0.0,0.0,0.0,1,0.40963855421686746,0.40963855421686746,1,0.483695652173913,0.483695652173913
2024-05-06,S001,Bulldozer,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2024,5,2,19,4,4,1,0,0,1,1,1,0,0,0,0,train,0,0.0,0.0,0.0,0.0,0.0,4,0.5368421052631579,0.4673296052317927,0,0.0,0.0
