feature,importance
current_demand,40.58830055663598
rental_ends_current_week,24.728256991328312
weeks_since_last_positive_demand,8.726378986748886
rental_starts_current_week,7.337598410042398
demand_rolling_max_4,3.3266719416532267
equipment_type,1.8371243984149914
site_id,1.516389600208405
demand_trend_4,1.4651568146192877
demand_rolling_mean_4,1.0141841561144094
active_excavator_count,0.9709306886896238
site_active_equipment_type_count,0.9070093702976812
week_of_year,0.7631320040115996
demand_lag_1,0.7251336814830469
site_total_active_units,0.6415700925311687
active_bulldozer_count,0.5791237444686087
active_crane_count,0.5762068695350459
quarter,0.5190261652205258
active_grader_count,0.4606105586528462
rental_starts_previous_2_weeks,0.45576017777083155
active_loader_count,0.443804575825446
year,0.40847492380518796
demand_rolling_std_4,0.40419485166913816
demand_lag_4,0.36289899808728676
rental_ends_previous_2_weeks,0.35005061976303575
demand_lag_2,0.34395655970599104
month,0.32194229851203615
active_roller_count,0.22611196420498322
