feature,importance
current_demand,21.6656157805267
rental_ends_current_week,19.804335438838983
weeks_since_last_positive_demand,17.74018162199167
rental_starts_current_week,6.566975230641873
transition_mean_start_probability,2.598891160444694
transition_max_start_probability,2.438933938346919
demand_trend_4,2.057412649224015
demand_rolling_max_4,2.023548986486351
week_of_year,1.972619853461639
site_id,1.844858542064562
transition_mean_end_probability,1.748286362139273
demand_rolling_mean_4,1.614187952183463
equipment_type,1.4399296029611794
transition_max_end_probability,1.1832551833750458
transition_recent_start_trigger_count,1.1431539036234948
transition_recent_end_trigger_count,1.1194853182048576
association_mean_confidence,1.059989138988341
site_total_active_units,0.9751258324853653
demand_lag_1,0.9219905292863146
active_excavator_count,0.8697343659964463
association_max_confidence,0.76761009059192
month,0.7337272489322183
rental_starts_previous_2_weeks,0.6796386268689761
association_mean_lift,0.6747170974136948
site_active_equipment_type_count,0.648330162871268
rental_ends_previous_2_weeks,0.6398978082065225
active_loader_count,0.6053771917497365
demand_rolling_std_4,0.5812910798397967
active_bulldozer_count,0.5172986113237227
association_max_lift,0.4935745447660365
active_grader_count,0.44191218234723106
association_max_support,0.3997190627520954
demand_lag_2,0.340635995502243
year,0.3343683664919196
active_crane_count,0.32518978093550965
demand_lag_4,0.32112280959368683
active_roller_count,0.2795948837755328
quarter,0.21585794967871078
association_matching_rule_count,0.21162511508802823
