feature,importance
current_demand,27.726166471251315
rental_ends_current_week,17.054558539006134
weeks_since_last_positive_demand,7.94472083385419
site_id,6.822798489652317
equipment_type,6.411891515834843
rental_starts_current_week,3.9045832545362593
week_of_year,2.7039359900963222
active_excavator_count,2.332757561462059
demand_trend_4,2.3197533889743895
demand_rolling_max_4,2.2666359278463246
active_bulldozer_count,1.999601648635533
site_total_active_units,1.9986046132664588
site_active_equipment_type_count,1.9784502587663853
active_loader_count,1.9324405529424462
active_roller_count,1.4997997827198206
demand_rolling_mean_4,1.3953848587369464
month,1.3624192180941805
active_crane_count,1.2081633016090225
year,1.189139407607119
demand_rolling_std_4,1.1406604052884288
demand_lag_4,1.0678042557434584
rental_starts_previous_2_weeks,0.9823425433532992
active_grader_count,0.9684674849366062
demand_lag_2,0.7590073403268508
demand_lag_1,0.40445811685699523
quarter,0.34087857930025545
rental_ends_previous_2_weeks,0.28457565930194684
