feature,importance
current_demand,21.028567517380793
rental_ends_current_week,15.203706274142599
weeks_since_last_positive_demand,14.874151672224851
rental_starts_current_week,6.21128335392519
site_id,4.500850473947792
transition_max_start_probability,2.6985742446109136
equipment_type,2.473287052403482
transition_mean_start_probability,2.18962558560194
transition_recent_end_trigger_count,2.186121545427247
week_of_year,2.1857101728085673
demand_trend_4,2.028307468165659
demand_rolling_max_4,1.6477117814319229
transition_mean_end_probability,1.508535952404123
active_excavator_count,1.4783651734505288
demand_rolling_mean_4,1.2092728682593308
active_loader_count,1.1912253713853587
transition_max_end_probability,1.1789963470625915
demand_rolling_std_4,1.1195419466711436
association_mean_lift,1.0198493790680905
site_active_equipment_type_count,0.9963666657846126
transition_recent_start_trigger_count,0.9577080822837368
association_max_confidence,0.9110300144298823
site_total_active_units,0.8981945176436636
association_mean_confidence,0.8972840881647738
active_bulldozer_count,0.8894379575909905
association_max_lift,0.854370611173784
rental_starts_previous_2_weeks,0.829937282364806
year,0.7867845717053935
month,0.784558382517192
demand_lag_2,0.747317768883692
active_grader_count,0.7412296006498211
active_roller_count,0.7202278669268326
association_max_support,0.6262497863879597
association_matching_rule_count,0.505107032990147
active_crane_count,0.43168702810902015
rental_ends_previous_2_weeks,0.43160720947679976
demand_lag_1,0.3867686677430806
quarter,0.34280630175362065
demand_lag_4,0.32764238304810184
