feature,importance
current_demand,36.921323274918734
rental_ends_current_week,25.95613260172445
weeks_since_last_positive_demand,12.073525771198781
rental_starts_current_week,6.579602695620412
equipment_type,2.274637477910362
demand_trend_4,2.0028102789732998
site_id,1.9070191370035074
week_of_year,1.5816588785838013
active_excavator_count,1.0377827159834385
demand_lag_1,1.020210978078413
active_bulldozer_count,0.8548084774783633
site_active_equipment_type_count,0.8139285512265736
site_total_active_units,0.6978318888344961
active_loader_count,0.6892925812258174
rental_ends_previous_2_weeks,0.5654360165425253
active_crane_count,0.5251637257668773
demand_rolling_std_4,0.5183446642133693
active_roller_count,0.5166200658422373
month,0.4934244106626522
demand_rolling_max_4,0.46511568696588
active_grader_count,0.42438266248410794
demand_rolling_mean_4,0.39187398001473084
rental_starts_previous_2_weeks,0.3883998776781865
year,0.3802297197030797
demand_lag_2,0.34993605396590455
demand_lag_4,0.3162311142862164
quarter,0.2542767131138078
