feature,importance
current_demand,49.91241467549091
rental_ends_current_week,29.064648241449344
demand_rolling_max_4,3.566517594421111
demand_trend_4,2.603435523597611
equipment_type,2.1804835038376007
site_id,1.9904189965973522
active_loader_count,0.8585233135868623
active_grader_count,0.7714182979382459
rental_starts_current_week,0.7691445647669293
demand_lag_1,0.7498346323480378
year,0.698601628322221
active_crane_count,0.6514668398293588
demand_lag_4,0.6462843168814878
site_total_active_units,0.6356846590010743
active_bulldozer_count,0.5986856865729688
active_excavator_count,0.5923164525763417
rental_starts_previous_2_weeks,0.43218081460263813
quarter,0.4261228586328894
demand_rolling_mean_4,0.41661542025871445
site_active_equipment_type_count,0.409035598054899
week_of_year,0.397950039387859
month,0.36489699287424154
demand_lag_2,0.3320422959903375
rental_ends_previous_2_weeks,0.32279492042034513
demand_rolling_std_4,0.3077989743588383
active_roller_count,0.2427383252992313
weeks_since_last_positive_demand,0.05794483290255015
