feature,importance
rental_ends_current_week,26.379056131976725
current_demand,25.735229241579948
weeks_since_last_positive_demand,24.709967515082823
rental_starts_current_week,5.4667349381698145
demand_trend_4,1.8973637731890123
transition_max_start_probability,1.357203889905505
site_id,1.11084678540303
transition_mean_start_probability,1.0630285186366997
week_of_year,0.8549346861265781
equipment_type,0.837644505549133
active_excavator_count,0.6378790214431813
demand_rolling_mean_4,0.6309249551994643
transition_recent_end_trigger_count,0.5814928518405854
demand_lag_1,0.5421391796383194
transition_mean_end_probability,0.5277378268622356
association_max_confidence,0.520574787642454
transition_recent_start_trigger_count,0.4531089144004378
transition_max_end_probability,0.45199808317767637
demand_rolling_max_4,0.4389972354552084
active_loader_count,0.4334854993482911
active_bulldozer_count,0.43225231733703356
site_active_equipment_type_count,0.4195484338217006
rental_starts_previous_2_weeks,0.3620343359872105
association_max_lift,0.34972318631444843
month,0.34380458862542984
active_roller_count,0.3186945914141489
association_mean_confidence,0.3185676481852474
year,0.31810586258101703
demand_rolling_std_4,0.29756476118326525
quarter,0.2907899105234881
rental_ends_previous_2_weeks,0.283355817783718
active_grader_count,0.2657426756962143
demand_lag_4,0.2583964296333477
site_total_active_units,0.22128356281052652
demand_lag_2,0.2209316749995933
association_max_support,0.20554468155672728
association_mean_lift,0.18946565926275333
association_matching_rule_count,0.16812019173456855
active_crane_count,0.10572532992241088
