feature,importance
current_demand,48.17508494821407
rental_ends_current_week,25.692572225096942
demand_rolling_max_4,3.1166739826321295
site_id,2.2082893187405492
demand_trend_4,2.189743003228896
equipment_type,1.5032976566037104
transition_mean_start_probability,0.9159677345262832
demand_lag_1,0.9135581751157984
transition_max_end_probability,0.8925165272846974
transition_max_start_probability,0.834195621606653
rental_starts_current_week,0.801330162671554
active_bulldozer_count,0.7606274577264801
transition_recent_start_trigger_count,0.7503513672991204
week_of_year,0.7214841549108212
association_max_confidence,0.6663051958993177
transition_recent_end_trigger_count,0.6312090398611504
active_loader_count,0.6191852920395816
active_crane_count,0.599965891722844
demand_rolling_mean_4,0.5956565325180948
association_mean_confidence,0.5682345767828243
active_grader_count,0.5447604862849692
quarter,0.4829838828920869
active_excavator_count,0.47841046422543126
site_total_active_units,0.4638951074659573
association_max_support,0.4419885012836131
association_max_lift,0.4330803717711782
rental_ends_previous_2_weeks,0.4175457884052641
site_active_equipment_type_count,0.4074285229151641
transition_mean_end_probability,0.3990131905691042
rental_starts_previous_2_weeks,0.3890289802140427
association_mean_lift,0.37809047861424067
month,0.3774579548471702
year,0.35629474239977965
demand_lag_2,0.2912772566337952
demand_lag_4,0.26916261140515
active_roller_count,0.24291691066408444
association_matching_rule_count,0.2212060691441711
demand_rolling_std_4,0.2034252767133919
weeks_since_last_positive_demand,0.04578453906987326
