antecedents,consequent,support,confidence,lift,antecedent_support,consequent_support
Bulldozer|Grader,Excavator,0.19,0.6927083333333333,1.1517715756136182,0.2742857142857143,0.6014285714285714
Excavator|Grader,Bulldozer,0.19,0.6244131455399061,1.2041024845122157,0.30428571428571427,0.5185714285714286
Bulldozer|Excavator,Grader,0.19,0.5757575757575757,1.232508571958113,0.33,0.46714285714285714
Excavator|Roller,Grader,0.17142857142857143,0.5381165919282511,1.1519315423540544,0.31857142857142856,0.46714285714285714
Bulldozer|Roller,Grader,0.14714285714285713,0.5567567567567567,1.191834035870733,0.2642857142857143,0.46714285714285714
Bulldozer|Grader|Roller,Excavator,0.10571428571428572,0.7184466019417477,1.1945667965777278,0.14714285714285713,0.6014285714285714
Excavator|Grader|Roller,Bulldozer,0.10571428571428572,0.6166666666666667,1.1891643709825528,0.17142857142857143,0.5185714285714286
Bulldozer|Excavator|Roller,Grader,0.10571428571428572,0.6016260162601627,1.2878844384774124,0.1757142857142857,0.46714285714285714
Grader|Loader,Bulldozer,0.15,0.6104651162790697,1.1772054583893907,0.24571428571428572,0.5185714285714286
Bulldozer|Loader,Grader,0.15,0.5440414507772021,1.1646147264343776,0.2757142857142857,0.46714285714285714
Excavator|Grader|Loader,Bulldozer,0.10142857142857142,0.6283185840707964,1.2116336331943733,0.16142857142857142,0.5185714285714286
Bulldozer|Excavator|Loader,Grader,0.10142857142857142,0.5966386554621848,1.2772081309588053,0.17,0.46714285714285714
Grader|Loader|Roller,Excavator,0.09571428571428571,0.7052631578947368,1.1726465808226028,0.1357142857142857,0.6014285714285714
Excavator|Grader|Loader,Roller,0.09571428571428571,0.5929203539823009,1.1724413779311036,0.16142857142857142,0.5057142857142857
Excavator|Loader|Roller,Grader,0.09571428571428571,0.5447154471544715,1.1660575321349542,0.1757142857142857,0.46714285714285714
Grader|Loader|Roller,Bulldozer,0.08714285714285715,0.6421052631578948,1.2382195157314777,0.1357142857142857,0.5185714285714286
Bulldozer|Loader|Roller,Grader,0.08714285714285715,0.580952380952381,1.2436289500509685,0.15,0.46714285714285714
Excavator|Grader|Loader|Roller,Bulldozer,0.06428571428571428,0.6716417910447761,1.2951770075243616,0.09571428571428571,0.5185714285714286
Bulldozer|Excavator|Grader|Loader,Roller,0.06428571428571428,0.6338028169014084,1.25328240630222,0.10142857142857142,0.5057142857142857
Bulldozer|Grader|Loader|Roller,Excavator,0.06428571428571428,0.7377049180327868,1.2265877496982203,0.08714285714285715,0.6014285714285714
Bulldozer|Excavator|Loader|Roller,Grader,0.06428571428571428,0.6716417910447761,1.4377653019307133,0.09571428571428571,0.46714285714285714
Crane,Loader,0.24142857142857144,0.6733067729083665,1.2178675478962702,0.3585714285714286,0.5528571428571428
Loader,Crane,0.24142857142857144,0.43669250645994834,1.2178675478962702,0.5528571428571428,0.3585714285714286
Crane|Excavator,Loader,0.14714285714285713,0.6776315789473684,1.2256901944784442,0.21714285714285714,0.5528571428571428
Excavator|Loader,Crane,0.14714285714285713,0.46396396396396394,1.2939234054771902,0.3171428571428571,0.3585714285714286
Crane|Roller,Loader,0.13285714285714287,0.6940298507462688,1.2553511512206412,0.19142857142857142,0.5528571428571428
Loader|Roller,Crane,0.13285714285714287,0.46733668341708545,1.3033293959839036,0.2842857142857143,0.3585714285714286
Crane|Excavator|Loader,Roller,0.09,0.6116504854368933,1.2094783610334048,0.14714285714285713,0.5057142857142857
Excavator|Loader|Roller,Crane,0.09,0.5121951219512195,1.4284326110193373,0.1757142857142857,0.3585714285714286
Crane|Excavator|Roller,Loader,0.09,0.7159090909090908,1.2949260042283297,0.12571428571428572,0.5528571428571428
Bulldozer|Crane,Loader,0.12571428571428572,0.6666666666666666,1.205857019810508,0.18857142857142858,0.5528571428571428
Bulldozer|Loader,Crane,0.12571428571428572,0.455958549222798,1.271597547633301,0.2757142857142857,0.3585714285714286
Bulldozer|Crane|Excavator,Loader,0.08,0.6511627906976745,1.1778138333032873,0.12285714285714286,0.5528571428571428
Bulldozer|Excavator|Loader,Crane,0.08,0.47058823529411764,1.3123974689477385,0.17,0.3585714285714286
Bulldozer|Crane|Roller,Loader,0.07,0.6712328767123288,1.2141163144667446,0.10428571428571429,0.5528571428571428
Bulldozer|Loader|Roller,Crane,0.07,0.46666666666666673,1.3014608233731741,0.15,0.3585714285714286
Crane|Grader,Loader,0.10285714285714286,0.6371681415929203,1.1525005145091582,0.16142857142857142,0.5528571428571428
Grader|Loader,Crane,0.10285714285714286,0.41860465116279066,1.1674233299360695,0.24571428571428572,0.3585714285714286
Crane|Grader,Bulldozer,0.1,0.6194690265486726,1.194568370755016,0.16142857142857142,0.5185714285714286
Excavator|Grader|Loader,Crane,0.06857142857142857,0.42477876106194695,1.1846419631209675,0.16142857142857142,0.3585714285714286
Crane|Grader|Loader,Bulldozer,0.06285714285714286,0.6111111111111112,1.1784511784511786,0.10285714285714286,0.5185714285714286
Bulldozer|Grader|Loader,Crane,0.06285714285714286,0.4190476190476191,1.1686586985391767,0.15,0.3585714285714286
Bulldozer|Crane|Grader,Excavator,0.07142857142857142,0.7142857142857142,1.187648456057007,0.1,0.6014285714285714
Crane|Excavator|Grader,Bulldozer,0.07142857142857142,0.6578947368421052,1.26866753661012,0.10857142857142857,0.5185714285714286
Bulldozer|Crane|Excavator,Grader,0.07142857142857142,0.5813953488372092,1.2445771993457078,0.12285714285714286,0.46714285714285714
Crane|Excavator|Grader,Roller,0.06571428571428571,0.6052631578947368,1.1968480523342255,0.10857142857142857,0.5057142857142857
Crane|Grader|Roller,Excavator,0.06571428571428571,0.7076923076923076,1.1766855472318654,0.09285714285714286,0.6014285714285714
Crane|Grader|Loader,Roller,0.06,0.5833333333333334,1.1534839924670435,0.10285714285714286,0.5057142857142857
Crane|Grader|Roller,Loader,0.06,0.6461538461538461,1.1687537268932617,0.09285714285714286,0.5528571428571428
Grader|Loader|Roller,Crane,0.06,0.4421052631578948,1.2329628853009016,0.1357142857142857,0.3585714285714286
