n,MAE,RMSE,exact_acc,within1_acc,underpred_rate,overpred_rate,add_equip_n_actual_positive,add_equip_precision,add_equip_recall,add_equip_F1,add_equip_TP,add_equip_FP,add_equip_FN,add_equip_TN,mean_shortage_error,model,split
900,0.3067,0.6377,0.7333,0.9667,13.33,13.33,120,0.0,0.0,0.0,0,0,120,780,0.1522,Persistence,validation
960,0.3417,0.6724,0.7083,0.9552,15.21,13.96,146,0.0,0.0,0.0,0,0,146,814,0.176,Persistence,test
900,0.3146,0.464,0.8211,0.98,15.44,2.44,120,0.6667,0.0833,0.1481,10,5,110,775,0.1467,CatBoost,validation
960,0.342,0.4845,0.7927,0.9771,17.71,3.02,146,0.5,0.0411,0.0759,6,6,140,808,0.176,CatBoost,test
900,0.3072,0.5707,0.7333,0.9667,13.33,13.33,120,0.0,0.0,0.0,0,0,120,780,0.1522,Hybrid A alpha=0.25,validation
900,0.3078,0.5165,0.7422,0.98,13.44,12.33,120,1.0,0.0083,0.0165,1,0,119,780,0.1511,Hybrid A alpha=0.5,validation
900,0.3097,0.4796,0.7767,0.9822,14.78,7.56,120,0.3333,0.0083,0.0163,1,2,119,778,0.1533,Hybrid A alpha=0.75,validation
960,0.3409,0.6007,0.7083,0.9583,15.21,13.96,146,0.0,0.0,0.0,0,0,146,814,0.176,Hybrid A alpha=0.25,test
900,0.2272,0.494,0.8211,0.98,15.44,2.44,120,0.6667,0.0833,0.1481,10,5,110,775,0.1467,Hybrid B change-gated,validation
960,0.254,0.5267,0.7927,0.9771,17.71,3.02,146,0.5,0.0411,0.0759,6,6,140,808,0.176,Hybrid B change-gated,test
900,0.3011,0.6298,0.7367,0.9689,12.44,13.89,120,0.6667,0.0833,0.1481,10,5,110,775,0.1467,Hybrid C conservative,validation
960,0.3417,0.6708,0.7073,0.9563,14.69,14.58,146,0.5,0.0411,0.0759,6,6,140,808,0.176,Hybrid C conservative,test
