alert_precision,alert_recall,alert_F1,TP,FP,FN,TN,n_alerts_fired,n_actual_positive,mean_shortage_error,increase_threshold
0.1698,0.9,0.2857,108,528,12,252,636,120,0.1467,0.05
0.1807,0.8417,0.2975,101,458,19,322,559,120,0.1467,0.1
0.2059,0.7,0.3182,84,324,36,456,408,120,0.1467,0.15
0.2558,0.55,0.3492,66,192,54,588,258,120,0.1467,0.2
0.2727,0.375,0.3158,45,120,75,660,165,120,0.1467,0.25
0.3084,0.275,0.2907,33,74,87,706,107,120,0.1467,0.3
0.411,0.25,0.3109,30,43,90,737,73,120,0.1467,0.35
0.44,0.1833,0.2588,22,28,98,752,50,120,0.1467,0.4
0.4286,0.1,0.1622,12,16,108,764,28,120,0.1467,0.45
0.6667,0.0833,0.1481,10,5,110,775,15,120,0.1467,0.5
0.5,0.0167,0.0323,2,2,118,778,4,120,0.1467,0.6
0.3333,0.0083,0.0163,1,2,119,778,3,120,0.1467,0.7
