source_equipment_type,source_event_type,target_equipment_type,source_count,success_count,raw_probability,smoothed_probability
Bulldozer,Rental Start,Crane,173,42,0.24277456647398843,0.24571428571428572
Bulldozer,Rental Start,Excavator,173,77,0.44508670520231214,0.44571428571428573
Bulldozer,Rental Start,Grader,173,84,0.48554913294797686,0.4857142857142857
Bulldozer,Rental Start,Loader,173,77,0.44508670520231214,0.44571428571428573
Bulldozer,Rental Start,Roller,173,69,0.3988439306358382,0.4
Crane,Rental Start,Bulldozer,120,59,0.49166666666666664,0.4918032786885246
Crane,Rental Start,Excavator,120,54,0.45,0.45081967213114754
Crane,Rental Start,Grader,120,37,0.30833333333333335,0.3114754098360656
Crane,Rental Start,Loader,120,54,0.45,0.45081967213114754
Crane,Rental Start,Roller,120,45,0.375,0.3770491803278688
Excavator,Rental Start,Bulldozer,188,101,0.5372340425531915,0.5368421052631579
Excavator,Rental Start,Crane,188,53,0.28191489361702127,0.28421052631578947
Excavator,Rental Start,Grader,188,78,0.4148936170212766,0.41578947368421054
Excavator,Rental Start,Loader,188,72,0.3829787234042553,0.38421052631578945
Excavator,Rental Start,Roller,188,77,0.4095744680851064,0.4105263157894737
Grader,Rental Start,Bulldozer,145,54,0.3724137931034483,0.3741496598639456
Grader,Rental Start,Crane,145,42,0.2896551724137931,0.2925170068027211
Grader,Rental Start,Excavator,145,66,0.45517241379310347,0.4557823129251701
Grader,Rental Start,Loader,145,56,0.38620689655172413,0.3877551020408163
Grader,Rental Start,Roller,145,69,0.47586206896551725,0.47619047619047616
Loader,Rental Start,Bulldozer,172,74,0.43023255813953487,0.43103448275862066
Loader,Rental Start,Crane,172,57,0.3313953488372093,0.3333333333333333
Loader,Rental Start,Excavator,172,68,0.3953488372093023,0.39655172413793105
Loader,Rental Start,Grader,172,58,0.3372093023255814,0.3390804597701149
Loader,Rental Start,Roller,172,61,0.3546511627906977,0.3563218390804598
Roller,Rental Start,Bulldozer,164,67,0.40853658536585363,0.40963855421686746
Roller,Rental Start,Crane,164,56,0.34146341463414637,0.3433734939759036
Roller,Rental Start,Excavator,164,71,0.4329268292682927,0.43373493975903615
Roller,Rental Start,Grader,164,62,0.3780487804878049,0.3795180722891566
Roller,Rental Start,Loader,164,62,0.3780487804878049,0.3795180722891566
Bulldozer,Rental End,Crane,172,44,0.2558139534883721,0.25862068965517243
Bulldozer,Rental End,Excavator,172,82,0.47674418604651164,0.47701149425287354
Bulldozer,Rental End,Grader,172,82,0.47674418604651164,0.47701149425287354
Bulldozer,Rental End,Loader,172,70,0.4069767441860465,0.40804597701149425
Bulldozer,Rental End,Roller,172,86,0.5,0.5
Crane,Rental End,Bulldozer,116,53,0.45689655172413796,0.4576271186440678
Crane,Rental End,Excavator,116,51,0.4396551724137931,0.4406779661016949
Crane,Rental End,Grader,116,42,0.3620689655172414,0.3644067796610169
Crane,Rental End,Loader,116,57,0.49137931034482757,0.4915254237288136
Crane,Rental End,Roller,116,46,0.39655172413793105,0.3983050847457627
Excavator,Rental End,Bulldozer,182,88,0.4835164835164835,0.483695652173913
Excavator,Rental End,Crane,182,49,0.2692307692307692,0.2717391304347826
Excavator,Rental End,Grader,182,81,0.44505494505494503,0.44565217391304346
Excavator,Rental End,Loader,182,68,0.37362637362637363,0.375
Excavator,Rental End,Roller,182,64,0.3516483516483517,0.3532608695652174
Grader,Rental End,Bulldozer,141,50,0.3546099290780142,0.35664335664335667
Grader,Rental End,Crane,141,35,0.24822695035460993,0.2517482517482518
Grader,Rental End,Excavator,141,62,0.4397163120567376,0.4405594405594406
Grader,Rental End,Loader,141,49,0.3475177304964539,0.34965034965034963
Grader,Rental End,Roller,141,61,0.4326241134751773,0.43356643356643354
Loader,Rental End,Bulldozer,169,65,0.38461538461538464,0.38596491228070173
Loader,Rental End,Crane,169,42,0.2485207100591716,0.25146198830409355
Loader,Rental End,Excavator,169,76,0.44970414201183434,0.4502923976608187
Loader,Rental End,Grader,169,56,0.33136094674556216,0.3333333333333333
Loader,Rental End,Roller,169,52,0.3076923076923077,0.30994152046783624
Roller,Rental End,Bulldozer,162,58,0.35802469135802467,0.3597560975609756
Roller,Rental End,Crane,162,52,0.32098765432098764,0.3231707317073171
Roller,Rental End,Excavator,162,60,0.37037037037037035,0.3719512195121951
Roller,Rental End,Grader,162,61,0.3765432098765432,0.3780487804878049
Roller,Rental End,Loader,162,65,0.4012345679012346,0.4024390243902439
