event_date,site_id,equipment_id,equipment_type,event_type
2024-01-02,S003,EQX1112,Roller,Rental Start
2024-01-02,S004,EQX1075,Crane,Rental Start
2024-01-02,S005,EQX1077,Crane,Rental Start
2024-01-02,S008,EQX1047,Bulldozer,Rental Start
2024-01-03,S001,EQX1023,Excavator,Rental Start
2024-01-03,S001,EQX1062,Grader,Rental Start
2024-01-03,S002,EQX1029,Bulldozer,Rental Start
2024-01-03,S002,EQX1055,Grader,Rental Start
2024-01-03,S006,EQX1113,Roller,Rental Start
2024-01-03,S009,EQX1034,Bulldozer,Rental Start
2024-01-04,S001,EQX1116,Roller,Rental Start
2024-01-04,S003,EQX1041,Bulldozer,Rental Start
2024-01-04,S003,EQX1018,Excavator,Rental Start
2024-01-04,S004,EQX1032,Bulldozer,Rental Start
2024-01-04,S005,EQX1086,Loader,Rental Start
2024-01-08,S001,EQX1062,Grader,Rental End
2024-01-08,S001,EQX1116,Roller,Rental End
2024-01-08,S002,EQX1029,Bulldozer,Rental End
2024-01-08,S002,EQX1055,Grader,Rental End
2024-01-08,S003,EQX1041,Bulldozer,Rental End
2024-01-08,S003,EQX1112,Roller,Rental End
2024-01-08,S004,EQX1032,Bulldozer,Rental End
2024-01-08,S004,EQX1075,Crane,Rental End
2024-01-08,S008,EQX1047,Bulldozer,Rental End
2024-01-08,S009,EQX1034,Bulldozer,Rental End
2024-01-09,S006,EQX1094,Loader,Rental Start
2024-01-09,S010,EQX1017,Excavator,Rental Start
2024-01-10,S002,EQX1003,Excavator,Rental Start
2024-01-10,S003,EQX1073,Crane,Rental Start
2024-01-10,S004,EQX1091,Loader,Rental Start
2024-01-10,S010,EQX1078,Crane,Rental Start
2024-01-11,S001,EQX1048,Bulldozer,Rental Start
2024-01-11,S001,EQX1021,Excavator,Rental Start
2024-01-11,S009,EQX1015,Excavator,Rental Start
2024-01-15,S001,EQX1048,Bulldozer,Rental End
2024-01-15,S002,EQX1003,Excavator,Rental End
2024-01-15,S003,EQX1073,Crane,Rental End
2024-01-15,S004,EQX1091,Loader,Rental End
2024-01-15,S005,EQX1077,Crane,Rental End
2024-01-15,S005,EQX1086,Loader,Rental End
2024-01-15,S010,EQX1078,Crane,Rental End
2024-01-16,S003,EQX1034,Bulldozer,Rental Start
2024-01-16,S003,EQX1057,Grader,Rental Start
2024-01-16,S003,EQX1112,Roller,Rental Start
2024-01-16,S004,EQX1035,Bulldozer,Rental Start
2024-01-16,S004,EQX1012,Excavator,Rental Start
2024-01-16,S004,EQX1111,Roller,Rental Start
2024-01-16,S008,EQX1117,Roller,Rental Start
2024-01-16,S009,EQX1010,Excavator,Rental Start
2024-01-16,S009,EQX1089,Loader,Rental Start
2024-01-17,S001,EQX1076,Crane,Rental Start
2024-01-17,S001,EQX1086,Loader,Rental Start
2024-01-17,S001,EQX1120,Roller,Rental Start
2024-01-17,S003,EQX1004,Excavator,Rental Start
2024-01-17,S003,EQX1062,Grader,Rental Start
2024-01-17,S007,EQX1003,Excavator,Rental Start
2024-01-17,S009,EQX1083,Loader,Rental Start
2024-01-17,S010,EQX1090,Loader,Rental Start
2024-01-18,S001,EQX1081,Loader,Rental Start
2024-01-18,S001,EQX1118,Roller,Rental Start
2024-01-18,S002,EQX1116,Roller,Rental Start
2024-01-18,S003,EQX1030,Bulldozer,Rental Start
2024-01-18,S003,EQX1100,Loader,Rental Start
2024-01-22,S001,EQX1076,Crane,Rental End
2024-01-22,S001,EQX1086,Loader,Rental End
2024-01-22,S001,EQX1081,Loader,Rental End
2024-01-22,S001,EQX1120,Roller,Rental End
2024-01-22,S002,EQX1116,Roller,Rental End
2024-01-22,S003,EQX1034,Bulldozer,Rental End
2024-01-22,S003,EQX1030,Bulldozer,Rental End
2024-01-22,S003,EQX1018,Excavator,Rental End
2024-01-22,S003,EQX1057,Grader,Rental End
2024-01-22,S004,EQX1035,Bulldozer,Rental End
2024-01-22,S006,EQX1113,Roller,Rental End
2024-01-22,S007,EQX1003,Excavator,Rental End
2024-01-22,S010,EQX1017,Excavator,Rental End
2024-01-22,S010,EQX1090,Loader,Rental End
2024-01-23,S007,EQX1102,Loader,Rental Start
2024-01-23,S008,EQX1107,Roller,Rental Start
2024-01-23,S009,EQX1056,Grader,Rental Start
2024-01-23,S009,EQX1108,Roller,Rental Start
2024-01-24,S003,EQX1115,Roller,Rental Start
2024-01-24,S005,EQX1098,Loader,Rental Start
2024-01-24,S007,EQX1095,Loader,Rental Start
2024-01-24,S009,EQX1042,Bulldozer,Rental Start
2024-01-24,S010,EQX1046,Bulldozer,Rental Start
2024-01-25,S001,EQX1029,Bulldozer,Rental Start
2024-01-25,S001,EQX1032,Bulldozer,Rental Start
2024-01-25,S002,EQX1043,Bulldozer,Rental Start
2024-01-25,S007,EQX1030,Bulldozer,Rental Start
2024-01-25,S007,EQX1119,Roller,Rental Start
2024-01-25,S008,EQX1113,Roller,Rental Start
2024-01-25,S009,EQX1086,Loader,Rental Start
2024-01-29,S001,EQX1029,Bulldozer,Rental End
2024-01-29,S001,EQX1032,Bulldozer,Rental End
2024-01-29,S001,EQX1023,Excavator,Rental End
2024-01-29,S001,EQX1021,Excavator,Rental End
2024-01-29,S002,EQX1043,Bulldozer,Rental End
2024-01-29,S003,EQX1062,Grader,Rental End
2024-01-29,S003,EQX1100,Loader,Rental End
2024-01-29,S004,EQX1012,Excavator,Rental End
2024-01-29,S005,EQX1098,Loader,Rental End
2024-01-29,S007,EQX1102,Loader,Rental End
2024-01-29,S007,EQX1119,Roller,Rental End
2024-01-29,S009,EQX1015,Excavator,Rental End
2024-01-29,S009,EQX1010,Excavator,Rental End
2024-01-29,S009,EQX1089,Loader,Rental End
2024-01-29,S009,EQX1083,Loader,Rental End
2024-01-29,S010,EQX1046,Bulldozer,Rental End
2024-01-30,S002,EQX1119,Roller,Rental Start
2024-01-31,S004,EQX1057,Grader,Rental Start
2024-02-01,S002,EQX1021,Excavator,Rental Start
2024-02-01,S003,EQX1005,Excavator,Rental Start
2024-02-01,S003,EQX1110,Roller,Rental Start
2024-02-01,S009,EQX1048,Bulldozer,Rental Start
2024-02-05,S002,EQX1119,Roller,Rental End
2024-02-05,S003,EQX1004,Excavator,Rental End
2024-02-05,S003,EQX1112,Roller,Rental End
2024-02-05,S003,EQX1115,Roller,Rental End
2024-02-05,S003,EQX1110,Roller,Rental End
2024-02-05,S004,EQX1057,Grader,Rental End
2024-02-05,S004,EQX1111,Roller,Rental End
2024-02-05,S006,EQX1094,Loader,Rental End
2024-02-05,S008,EQX1117,Roller,Rental End
2024-02-05,S008,EQX1107,Roller,Rental End
2024-02-05,S008,EQX1113,Roller,Rental End
2024-02-05,S009,EQX1042,Bulldozer,Rental End
2024-02-05,S009,EQX1048,Bulldozer,Rental End
2024-02-05,S009,EQX1056,Grader,Rental End
2024-02-05,S009,EQX1086,Loader,Rental End
2024-02-06,S001,EQX1016,Excavator,Rental Start
2024-02-06,S001,EQX1055,Grader,Rental Start
2024-02-06,S003,EQX1036,Bulldozer,Rental Start
2024-02-06,S008,EQX1053,Grader,Rental Start
2024-02-07,S003,EQX1040,Bulldozer,Rental Start
2024-02-07,S005,EQX1054,Grader,Rental Start
2024-02-07,S009,EQX1014,Excavator,Rental Start
2024-02-07,S009,EQX1026,Excavator,Rental Start
2024-02-08,S002,EQX1039,Bulldozer,Rental Start
2024-02-08,S002,EQX1097,Loader,Rental Start
2024-02-08,S004,EQX1044,Bulldozer,Rental Start
2024-02-08,S004,EQX1010,Excavator,Rental Start
2024-02-08,S007,EQX1110,Roller,Rental Start
2024-02-08,S010,EQX1017,Excavator,Rental Start
2024-02-08,S010,EQX1081,Loader,Rental Start
2024-02-12,S001,EQX1055,Grader,Rental End
2024-02-12,S002,EQX1021,Excavator,Rental End
2024-02-12,S003,EQX1036,Bulldozer,Rental End
2024-02-12,S003,EQX1005,Excavator,Rental End
2024-02-12,S004,EQX1044,Bulldozer,Rental End
2024-02-12,S004,EQX1010,Excavator,Rental End
2024-02-12,S005,EQX1054,Grader,Rental End
2024-02-12,S007,EQX1030,Bulldozer,Rental End
2024-02-12,S007,EQX1110,Roller,Rental End
2024-02-12,S009,EQX1026,Excavator,Rental End
