rental_id,equipment_id,site_id,operator_id,check_in_date,check_out_date,engine_hours_per_day,idle_hours_per_day,rental_days,is_overdue,anomaly_flag
1,EQX1047,S008,,2024-01-02,2024-01-08,1.45,6.71,31,False,Missing Operator
2,EQX1075,S004,OP123,2024-01-02,2024-01-08,2.56,8.87,17,False,High Idle Time
3,EQX1077,S005,OP109,2024-01-02,2024-01-15,5.76,3.13,3,True,Overdue Equipment
4,EQX1112,S003,OP131,2024-01-02,2024-01-08,4.38,4.11,18,False,
5,EQX1023,S001,OP123,2024-01-03,2024-01-29,5.75,4.14,39,False,
6,EQX1029,S002,OP121,2024-01-03,2024-01-08,0.96,7.78,28,False,Under-utilised
7,EQX1034,S009,OP118,2024-01-03,2024-01-08,4.78,2.1,31,False,
8,EQX1055,S002,OP101,2024-01-03,2024-01-08,6.34,4.35,7,False,
9,EQX1062,S001,OP124,2024-01-03,2024-01-08,5.2,2.41,16,False,
10,EQX1113,S006,OP138,2024-01-03,2024-01-22,2.76,9.24,13,True,Overdue Equipment
11,EQX1018,S003,OP113,2024-01-04,2024-01-22,4.63,3.43,37,False,
12,EQX1032,S004,OP127,2024-01-04,2024-01-08,5.04,2.21,22,False,
13,EQX1041,S003,OP142,2024-01-04,2024-01-08,7.64,2.35,23,False,
14,EQX1086,S005,OP121,2024-01-04,2024-01-15,6.28,2.59,13,False,
15,EQX1116,S001,OP119,2024-01-04,2024-01-08,5.22,2.15,21,False,
16,EQX1017,S010,,2024-01-09,2024-01-22,4.39,4.13,32,False,Missing Operator
17,EQX1094,S006,OP138,2024-01-09,2024-02-05,1.2,7.75,15,True,Overdue Equipment
18,EQX1003,S002,OP139,2024-01-10,2024-01-15,4.46,3.62,29,False,
19,EQX1073,S003,OP106,2024-01-10,2024-01-15,6.32,2.37,8,False,
20,EQX1078,S010,OP126,2024-01-10,2024-01-15,4.07,2.23,14,False,
21,EQX1091,S004,OP120,2024-01-10,2024-01-15,6.67,1.17,15,False,
22,EQX1015,S009,OP137,2024-01-11,2024-01-29,6.09,2.82,23,False,
23,EQX1021,S001,OP102,2024-01-11,2024-01-29,9.34,2.25,33,False,
24,EQX1048,S001,OP120,2024-01-11,2024-01-15,7.59,0.84,26,False,
25,EQX1010,S009,OP123,2024-01-16,2024-01-29,1.4,5.44,31,False,
26,EQX1012,S004,OP135,2024-01-16,2024-01-29,6.14,2.6,26,False,
27,EQX1034,S003,OP101,2024-01-16,2024-01-22,5.25,2.67,29,False,
28,EQX1035,S004,OP123,2024-01-16,2024-01-22,6.4,3.88,11,False,
29,EQX1057,S003,OP144,2024-01-16,2024-01-22,6.06,3.3,13,False,
30,EQX1089,S009,OP138,2024-01-16,2024-01-29,8.66,0.73,26,False,
31,EQX1111,S004,OP131,2024-01-16,2024-02-05,6.88,1.97,16,True,Overdue Equipment
32,EQX1112,S003,OP125,2024-01-16,2024-02-05,7.85,1.45,8,True,Overdue Equipment
33,EQX1117,S008,OP102,2024-01-16,2024-02-05,0.74,6.72,8,True,Overdue Equipment
34,EQX1003,S007,OP120,2024-01-17,2024-01-22,5.97,3.09,31,False,
35,EQX1004,S003,OP137,2024-01-17,2024-02-05,6.84,3.02,24,False,
36,EQX1062,S003,OP122,2024-01-17,2024-01-29,2.58,8.88,14,False,High Idle Time
37,EQX1076,S001,OP115,2024-01-17,2024-01-22,7.93,1.02,19,False,
38,EQX1083,S009,OP145,2024-01-17,2024-01-29,7.31,1.28,9,True,Overdue Equipment
39,EQX1086,S001,OP132,2024-01-17,2024-01-22,5.9,2.75,23,False,
40,EQX1090,S010,OP118,2024-01-17,2024-01-22,5.08,3.72,13,False,
41,EQX1120,S001,OP143,2024-01-17,2024-01-22,8.74,1.18,17,False,
42,EQX1030,S003,OP120,2024-01-18,2024-01-22,6.28,3.28,19,False,
