week_start,site_id,equipment_types,quantity_items
2024-01-01,S001,Excavator|Grader|Roller,Excavator_1|Grader_1|Roller_1
2024-01-01,S002,Bulldozer|Grader,Bulldozer_1|Grader_1
2024-01-01,S003,Bulldozer|Excavator|Roller,Bulldozer_1|Excavator_1|Roller_1
2024-01-01,S004,Bulldozer|Crane,Bulldozer_1|Crane_1
2024-01-01,S005,Crane|Loader,Crane_1|Loader_1
2024-01-01,S006,Roller,Roller_1
2024-01-01,S007,,
2024-01-01,S008,Bulldozer,Bulldozer_1
2024-01-01,S009,Bulldozer,Bulldozer_1
2024-01-01,S010,,
2024-01-08,S001,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_2_units|Grader_1|Roller_1
2024-01-08,S002,Bulldozer|Excavator|Grader,Bulldozer_1|Excavator_1|Grader_1
2024-01-08,S003,Bulldozer|Crane|Excavator|Roller,Bulldozer_1|Crane_1|Excavator_1|Roller_1
2024-01-08,S004,Bulldozer|Crane|Loader,Bulldozer_1|Crane_1|Loader_1
2024-01-08,S005,Crane|Loader,Crane_1|Loader_1
2024-01-08,S006,Loader|Roller,Loader_1|Roller_1
2024-01-08,S007,,
2024-01-08,S008,Bulldozer,Bulldozer_1
2024-01-08,S009,Bulldozer|Excavator,Bulldozer_1|Excavator_1
2024-01-08,S010,Crane|Excavator,Crane_1|Excavator_1
2024-01-15,S001,Bulldozer|Crane|Excavator|Loader|Roller,Bulldozer_1|Crane_1|Excavator_2_units|Loader_2_units|Roller_2_units
2024-01-15,S002,Excavator|Roller,Excavator_1|Roller_1
2024-01-15,S003,Bulldozer|Crane|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Crane_1|Excavator_2_units|Grader_2_units|Loader_1|Roller_1
2024-01-15,S004,Bulldozer|Excavator|Loader|Roller,Bulldozer_1|Excavator_1|Loader_1|Roller_1
2024-01-15,S005,Crane|Loader,Crane_1|Loader_1
2024-01-15,S006,Loader|Roller,Loader_1|Roller_1
2024-01-15,S007,Excavator,Excavator_1
2024-01-15,S008,Roller,Roller_1
2024-01-15,S009,Excavator|Loader,Excavator_2_units|Loader_2_units
2024-01-15,S010,Crane|Excavator|Loader,Crane_1|Excavator_1|Loader_1
2024-01-22,S001,Bulldozer|Crane|Excavator|Loader|Roller,Bulldozer_2_units|Crane_1|Excavator_2_units|Loader_2_units|Roller_2_units
2024-01-22,S002,Bulldozer|Roller,Bulldozer_1|Roller_1
2024-01-22,S003,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_2_units|Grader_2_units|Loader_1|Roller_2_units
2024-01-22,S004,Bulldozer|Excavator|Roller,Bulldozer_1|Excavator_1|Roller_1
2024-01-22,S005,Loader,Loader_1
2024-01-22,S006,Loader|Roller,Loader_1|Roller_1
2024-01-22,S007,Bulldozer|Excavator|Loader|Roller,Bulldozer_1|Excavator_1|Loader_2_units|Roller_1
2024-01-22,S008,Roller,Roller_3_units
2024-01-22,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_1|Excavator_2_units|Grader_1|Loader_3_units|Roller_1
2024-01-22,S010,Bulldozer|Excavator|Loader,Bulldozer_1|Excavator_1|Loader_1
2024-01-29,S001,Bulldozer|Excavator|Roller,Bulldozer_2_units|Excavator_2_units|Roller_1
2024-01-29,S002,Bulldozer|Excavator|Roller,Bulldozer_1|Excavator_1|Roller_1
2024-01-29,S003,Excavator|Grader|Loader|Roller,Excavator_2_units|Grader_1|Loader_1|Roller_3_units
2024-01-29,S004,Excavator|Grader|Roller,Excavator_1|Grader_1|Roller_1
2024-01-29,S005,Loader,Loader_1
2024-01-29,S006,Loader,Loader_1
2024-01-29,S007,Bulldozer|Loader|Roller,Bulldozer_1|Loader_2_units|Roller_1
2024-01-29,S008,Roller,Roller_3_units
2024-01-29,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_2_units|Grader_1|Loader_3_units|Roller_1
2024-01-29,S010,Bulldozer,Bulldozer_1
2024-02-05,S001,Excavator|Grader|Roller,Excavator_1|Grader_1|Roller_1
2024-02-05,S002,Bulldozer|Excavator|Loader|Roller,Bulldozer_1|Excavator_1|Loader_1|Roller_1
2024-02-05,S003,Bulldozer|Excavator|Roller,Bulldozer_2_units|Excavator_2_units|Roller_3_units
2024-02-05,S004,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_1|Grader_1|Roller_1
2024-02-05,S005,Grader,Grader_1
2024-02-05,S006,Loader,Loader_1
2024-02-05,S007,Bulldozer|Loader|Roller,Bulldozer_1|Loader_1|Roller_1
2024-02-05,S008,Grader|Roller,Grader_1|Roller_3_units
2024-02-05,S009,Bulldozer|Excavator|Grader|Loader|Roller,Bulldozer_2_units|Excavator_2_units|Grader_1|Loader_1|Roller_1
2024-02-05,S010,Excavator|Loader,Excavator_1|Loader_1
2024-02-12,S001,Excavator|Grader|Loader|Roller,Excavator_2_units|Grader_1|Loader_1|Roller_1
2024-02-12,S002,Bulldozer|Crane|Excavator|Loader,Bulldozer_2_units|Crane_1|Excavator_1|Loader_2_units
2024-02-12,S003,Bulldozer|Excavator|Grader|Loader,Bulldozer_2_units|Excavator_1|Grader_1|Loader_1
2024-02-12,S004,Bulldozer|Excavator|Grader|Roller,Bulldozer_1|Excavator_1|Grader_1|Roller_1
2024-02-12,S005,Bulldozer|Grader,Bulldozer_2_units|Grader_1
